date,open,high,low,close,volume,average,barCount
2025-06-18,1.36627,1.37035,1.36344,1.369425,-1.0,-1.0,-1
2025-06-19,1.368625,1.374655,1.368625,1.370005,-1.0,-1.0,-1
2025-06-20,1.371025,1.37473,1.36874,1.373505,-1.0,-1.0,-1
2025-06-23,1.37585,1.379815,1.372525,1.37339,-1.0,-1.0,-1
2025-06-24,1.373095,1.37385,1.36786,1.37242,-1.0,-1.0,-1
2025-06-25,1.3721,1.37548,1.37166,1.37261,-1.0,-1.0,-1
2025-06-26,1.373275,1.373275,1.361795,1.36427,-1.0,-1.0,-1
2025-06-27,1.364225,1.376,1.36277,1.36908,-1.0,-1.0,-1
2025-06-30,1.368585,1.370005,1.36001,1.36082,-1.0,-1.0,-1
2025-07-01,1.360675,1.36673,1.35913,1.36459,-1.0,-1.0,-1
2025-07-02,1.36456,1.3659,1.358365,1.35899,-1.0,-1.0,-1
2025-07-03,1.35915,1.362495,1.355665,1.358345,-1.0,-1.0,-1
2025-07-04,1.358325,1.36173,1.356685,1.3603,-1.0,-1.0,-1
2025-07-07,1.360705,1.36859,1.359745,1.36822,-1.0,-1.0,-1
2025-07-08,1.367005,1.369455,1.363855,1.366015,-1.0,-1.0,-1
2025-07-09,1.367075,1.371015,1.36605,1.368555,-1.0,-1.0,-1
2025-07-10,1.368425,1.37086,1.36542,1.365515,-1.0,-1.0,-1
2025-07-11,1.366475,1.373105,1.36521,1.369215,-1.0,-1.0,-1
2025-07-14,1.370255,1.37082,1.36701,1.370525,-1.0,-1.0,-1
2025-07-15,1.3702,1.373005,1.367175,1.372415,-1.0,-1.0,-1
2025-07-16,1.37223,1.375555,1.36802,1.36829,-1.0,-1.0,-1
2025-07-17,1.368845,1.377445,1.36841,1.37526,-1.0,-1.0,-1
2025-07-18,1.375375,1.375375,1.36957,1.37238,-1.0,-1.0,-1
2025-07-21,1.37255,1.373485,1.367755,1.368275,-1.0,-1.0,-1
2025-07-22,1.368175,1.36955,1.360285,1.360605,-1.0,-1.0,-1
2025-07-23,1.359375,1.362925,1.35757,1.35966,-1.0,-1.0,-1
2025-07-24,1.359825,1.36548,1.35959,1.36381,-1.0,-1.0,-1
2025-07-25,1.364745,1.372585,1.363815,1.37037,-1.0,-1.0,-1
2025-07-28,1.370725,1.374255,1.36889,1.373905,-1.0,-1.0,-1
2025-07-29,1.373675,1.37886,1.37311,1.377035,-1.0,-1.0,-1
2025-07-30,1.377055,1.38451,1.37588,1.382885,-1.0,-1.0,-1
2025-07-31,1.383175,1.384805,1.381375,1.384715,-1.0,-1.0,-1
